Title,Movie_Cast,Director,Genre,Year
Baby John,Varun DhawanKeerthy SureshWamiqa GabbiJackie ShroffSanya Malhotra,Kalees,NA,2024
Kisko Tha Pata,Ashnoor KaurAkshay OberoiAadil Khan,Ratnaa Sinha,NA,2024
NA,NA,NA,NA,2024
NA,NA,NA,NA,2024
NA,NA,NA,NA,2024
Chhaava,NA,NA,NA,2025
Raid 2,NA,NA,NA,2025
Sikandar,NA,NA,NA,2025
Sky Force,NA,NA,NA,2025
Kesari Chapter 2,NA,NA,NA,2025
Jaat,NA,NA,NA,2025
Bhool Chuk Maaf,NA,NA,NA,2025
Housefull 5,NA,NA,NA,2025
The Diplomat,NA,NA,NA,2025
Deva,NA,NA,NA,2025
The Rabbit House,"Amit RiyaanKarishmaPadmanabh, Gagan PradeepPreeti SharmaSuresh Kumbhar",Vaibhav Kulkarni,NA,2025
Fateh,Sonu SoodNaseeruddin ShahJacqueline Fernandez,Sonu Sood,NA,2025
Match Fixing,Vineet Kumar SinghRaj ArjunShataf FigarAnuja Sathe,Kedar Gaekwad,NA,2025
Emergency,Kangana RanautAnupam KherShreyas TalpadeMahima ChaudhryMilind SomanSatish Kaushik,Kangana Ranaut,NA,2025
Azaad,Ajay DevgnDiana PentyAaman DevganRasha ThadaniMohit MalikPiyush Mishra,Abhishek Kapoor,NA,2025
Mission Grey House,Abeer KhanPuja SharmaRajesh SharmaKiran KumarNikhat KhanKamlesh SawantRaza Murad,Naushad Siddiqui,NA,2025
Hisaab Barabar,R. MadhavanNeil Nitin MukeshKirti KulhariRashami Desai,Ashwni Dhir,NA,2025
Sky Force,Akshay KumarVeer PahariyaSara Ali KhanNimrat Kaur,Sandeep KewlaniAbhishek Anil Kapur,NA,2025
Sweet Dreams,Amol ParasharMithila Palkar,Victor Mukherjee,NA,2025
The Storyteller,Paresh RawalAdil HussainRevathiTannishtha Chatterjee,Anant Mahadevan,NA,2025
Deva,Shahid KapoorPooja Hegde,Rosshan Andrrews,NA,2025
Loveyapa,Junaid KhanKhushi Kapoor,Advait Chandan,NA,2025
Badass Ravi Kumar,Himesh ReshammiyaPrabhu DevaKirti KulhariSonia KapoorRajesh SharmaJohny LeverNavneet NishanManish WadhwaSanjay MishraAnil George,Keith Gomes,NA,2025
Mrs.,Sanya MalhotraNishant DahiyaKanwaljit Singh,Aarti Kadav,NA,2025
The Mehta Boys,Boman IraniAvinash Tiwary,Boman Irani,NA,2025
Bobby Aur Rishi Ki Love Story,Vardhan PuriKaveri Kapur,Kunal Kohli,NA,2025
Chhaava,Vicky KaushalRashmika MandannaAkshaye Khanna,Laxman Utekar,NA,2025
Dhoom Dhaam,Pratik GandhiYami Gautam,Rishab Seth,NA,2025
Mere Husband Ki Biwi,Arjun KapoorRakul Preet SinghBhumi Pednekar,Mudassar Aziz,NA,2025
