Title,Movie_Cast,Director,Genre,Year
jo tera hai woh mera hai,Paresh RawalAmit SialFaisal MalikSonali KulkarniSonnalli Seygall,Raj Trivedi,"drama, comedy",2024
"love, sitara",Sobhita DhulipalaRajeev SiddharthaSonali KulkarniB. JayashreeVirginia RodriguesSanjay BhutianiTamara D’SouzaRijul Ray,Vandana Kataria,drama,2024
binny and family,Anjini DhawanPankaj KapurRajesh KumarCharu ShankarHimani ShivpuriNaman Tripathy,Ssanjay Tripaathy,family,2024
,,,,2024
,,,,2024
ctrl,Ananya PandayVihaan Samat,Vikramaditya Motwane,thriller,2024
amar prem ki prem kahani,Sunny SinghAditya SealPranutan Bahl,Hardik Gajjar,drama,2024
the signature,Anupam KherMahima ChaudhryNeena KulkarniAnnu KapoorRanvir Shorey,Gajendra Ahire,drama,2024
jigra,Alia BhattVedang Raina,Vasan Bala,"action, thriller",2024
vicky vidya ka woh wala video,Rajkummar RaoTriptii Dimri,Raaj Shaandilyaa,comedy,2024
aayushmati geeta matric pass,Kashika KapoorAnuj SainiAtul SrivastavAlka Amin,Prradip Khairwar,"drama, family",2024
do patti,KajolKriti SanonShaheer SheikhTanvi AzmiBrijendra KalaVivek MushranPrachi Shah,Shashanka Chaturvedi,"drama, thriller",2024
bandaa singh chaudhary,Arshad WarsiMeher Vij,Abhishek Saxena,"action, drama",2024
the miranda brothers,Harshvardhan RaneMeezaan Jafri,Sanjay Gupta,"drama, sports",2024
navras katha collage,Praveen HingoniaSheeba ChaddhaRajesh SharmaAlka AminRevathi Pillai,Praveen Hingonia,drama,2024
bhool bhulaiyaa 3,Kartik AaryanVidya BalanMadhuri DixitTriptii Dimri,Anees Bazmee,"comedy, horror",2024
bhool bhulaiyaa 3,Kartik AaryanVidya BalanMadhuri DixitTriptii Dimri,Anees Bazmee,"comedy, horror",2024
singham again,Ajay DevgnAkshay KumarRanveer SinghTiger ShroffKareena Kapoor KhanDeepika PadukoneArjun KapoorJackie Shroff,Rohit Shetty,action,2024
singham again,Ajay DevgnAkshay KumarRanveer SinghTiger ShroffKareena Kapoor KhanDeepika PadukoneArjun KapoorJackie Shroff,Rohit Shetty,action,2024
vijay 69,Anupam KherChunky PandayMihir Ahuja,Akshay Roy,drama,2024
ella,Isha TalwarMakarand DeshpandeSaranya Sharma,Roshan Fernandes,,2024
khwaabon ka jhamela,Prateik BabbarSayani GuptaKubbra Sait,Danish Aslam,"comedy, romantic",2024
the sabarmati report,Vikrant MasseyRaashii KhannaRiddhi Dogra,Dheeraj Sarna,"drama, political",2024
